,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10476,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19493312.0,19493312.0,False,,1,,,,2023-09-23T04:31:00.000Z,26547.319320141538,10207904058.524967,-25.6759,-0.04260636,-0.33630344,-0.17389746,0.51854194,-8.73186187,-14.24082323,517495178271.1469,49.1248,557493705722.97,,2023-09-23T04:31:00.000Z,,,,,,2023-09-23 04:32:43.058191+00:00
1,1027,Ethereum,ETH,ethereum,7426,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120227075.13697039,120227075.13697039,True,,2,,,,2023-09-23T04:31:00.000Z,1592.101700784797,3258036668.4445586,-36.7554,-0.03428816,-0.12277988,-2.98250324,-4.85029065,-13.93939432,-16.88562499,191413730805.95212,18.1692,191413730805.95,,2023-09-23T04:31:00.000Z,,,,,,2023-09-23 04:32:43.058191+00:00
2,825,Tether USDt,USDT,tether,62705,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83201358999.17218,86426198726.43625,True,,3,,,,2023-09-23T04:31:00.000Z,0.9999928331389476,16091638513.74778,-93.1778,-0.00456385,0.02275072,-0.01672066,0.02005279,-0.02064218,-0.03488271,83200762706.59286,7.8989,86425579321.88,,2023-09-23T04:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-09-23 04:32:43.058191+00:00
3,1839,BNB,BNB,bnb,1633,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153847537.06873918,153847537.06873918,False,,4,,,,2023-09-23T04:31:00.000Z,210.46319223443248,266309534.08099163,-30.4801,-0.05383984,-0.61276939,-2.09970755,-2.89562187,-11.54393644,-12.10322058,32379243768.89203,3.074,32379243768.89,,2023-09-23T04:31:00.000Z,,,,,,2023-09-23 04:32:43.058191+00:00
4,52,XRP,XRP,xrp,1097,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53245240268.0,99988414766.0,False,,5,,,,2023-09-23T04:31:00.000Z,0.5127320483990767,672573210.9463211,-52.1442,0.00164543,0.06418196,2.4149054,-2.94314306,-26.03966535,4.44215745,27300541110.112644,2.5918,51273204839.91,,2023-09-23T04:31:00.000Z,,,,,,2023-09-23 04:32:43.058191+00:00
5,3408,USD Coin,USDC,usd-coin,14200,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25757466439.461708,25757466439.461708,False,,6,,,,2023-09-23T04:31:00.000Z,1.000083998566745,2546663808.7814,-16.3569,-0.00214505,0.0130064,-0.00353488,0.00138229,-0.00972985,0.01556796,25759630029.7256,2.4451,25759630029.73,,2023-09-23T04:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-09-23 04:32:43.058191+00:00
6,74,Dogecoin,DOGE,dogecoin,799,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141119996383.70526,141119996383.70526,True,,7,,,,2023-09-23T04:31:00.000Z,0.06158224505018802,133199833.04239605,-90.2346,0.0294151,-0.04385205,-1.3716359,-3.45777222,-20.02236143,-9.3261118,8690486198.782986,0.825,8690486198.78,,2023-09-23T04:31:00.000Z,,,,,,2023-09-23 04:32:43.058191+00:00
7,2010,Cardano,ADA,cardano,938,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35118392743.882,36198584811.424,False,,8,,,,2023-09-23T04:31:00.000Z,0.24489525024862535,109400321.05878478,-85.2834,0.28500766,-0.55324892,-2.70915443,-8.79008296,-19.26064114,-17.61684325,8600327579.342491,0.8164,11020286261.19,,2023-09-23T04:31:00.000Z,,,,,,2023-09-23 04:32:43.058191+00:00
8,5426,Solana,SOL,solana,530,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,412611966.4186969,558107519.336591,True,,9,,,,2023-09-23T04:31:00.000Z,19.423248973627125,160143345.39466557,-38.4759,0.26715717,-1.39952509,0.77634341,-10.6018712,-16.40203216,13.71690806,8014264953.248224,0.7609,10840261302.13,,2023-09-23T04:31:00.000Z,,,,,,2023-09-23 04:32:43.058191+00:00
9,11419,Toncoin,TON,toncoin,150,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,10,3414166606.0,7848385722.004999,,2023-09-23T04:31:00.000Z,2.2987705720665113,34077141.63613717,-29.4305,0.04487925,-0.57310955,8.5964901,59.62516122,64.44717862,62.22125583,7889132537.528761,0.749,11603179004.95,,2023-09-23T04:31:00.000Z,,,,,,2023-09-23 04:32:43.058191+00:00
